irradiance_Wm2;pv_power_kW;sky_state;inclinacion_°;temperatura_ambiental_°C;generacion_W
554,8;21,531;clear;20;30;97,86672
587,8;21,743;clear;20;30;103,68792
381,8;14,774;clear;20;20;70,09848
262,5;11,535;clear;45;20;45,78525
205,7;9,253;clear;20;20;37,76652
193,5;6,255;clear;20;30;34,1334
32,8;2,245;clear;45;30;5,496624
42,1;0;clear;45;30;7,055118
0;0;clear;20;10;0
0;0;clear;20;10;0
43;0,904;clear;45;20;7,50006
11,2;0;clear;45;30;1,876896
133,9;5,531;clear;20;30;23,61996
103,9;3,715;clear;45;20;18,122238
186,7;7,936;clear;20;10;35,62236
261,6;7,895;clear;45;10;47,417616
367,2;14,13;clear;20;30;64,77408
506,5;19,454;clear;20;20;92,9934
592,7;23,281;clear;20;20;108,81972
706,7;27,268;clear;45;10;128,096442
858,5;32,694;clear;45;10;155,61171
825,8;32,289;clear;20;10;157,56264
849,5;32,691;clear;20;20;155,9682
750,9;29,9;clear;45;10;136,108134
604,9;20,427;clear;45;10;109,644174
516,5;17,183;clear;20;30;91,1106
424,9;15,831;clear;45;10;77,017374
335;11,242;clear;45;10;60,7221
195,7;8,072;clear;20;30;34,52148
150,2;6,043;clear;45;10;27,225252
56,4;2,252;clear;45;20;9,837288
45,9;2,913;clear;20;10;8,75772
0;0;clear;45;30;0
0;0;clear;45;30;0
28,3;4,391;clear;45;30;4,742514
55,9;3,74;clear;45;10;10,132434
165,5;5,762;clear;20;30;29,1942
91,1;2,957;clear;45;10;16,512786
229,9;9,274;clear;20;10;43,86492
295,9;10,821;clear;45;10;53,634834
446,2;15,988;clear;20;20;81,92232
504,5;20,702;clear;45;30;84,54411
683,5;26,047;clear;45;30;114,54093
765,6;27,669;clear;20;10;146,07648
898,7;34,873;clear;20;10;171,47196
928,8;34,412;clear;45;30;155,648304
837,7;33,993;clear;45;30;140,381766
816,8;33,115;clear;45;10;148,053168
594,2;21,62;clear;20;30;104,81688
517,1;18,164;clear;20;30;91,21644
366,1;14,507;clear;20;10;69,85188
311,7;12,685;clear;45;10;56,498742
177,5;9,972;clear;45;30;29,74545
46,8;0,288;clear;45;20;8,162856
76;2,725;clear;45;30;12,73608
120,6;5,438;clear;20;30;21,27384
0;0;clear;20;30;0
0;0;clear;20;20;0
0;0;clear;45;10;0
38,3;1,141;clear;20;20;7,03188
45,5;1,475;clear;45;20;7,93611
141,2;7,023;clear;20;30;24,90768
167,1;7,05;clear;20;10;31,88268
265,9;11,358;clear;20;30;46,90476
452,7;19,984;clear;45;10;82,056402
518,2;19,837;clear;20;20;95,14152
624,7;21,665;clear;45;30;104,687226
731,1;28,093;clear;45;30;122,517738
790,1;30,573;clear;20;20;145,06236
885,9;37,165;clear;20;20;162,65124
854,9;31,083;clear;45;10;154,959174
830,7;30,391;clear;20;10;158,49756
656;24,958;clear;20;20;120,4416
517;21,619;clear;45;30;86,63886
344,2;14,581;clear;45;20;60,035364
252,7;7,292;clear;20;30;44,57628
187,5;8,919;clear;20;30;33,075
116,4;5,466;clear;45;30;19,506312
114,7;2,614;clear;20;30;20,23308
47,4;3,439;clear;20;30;8,36136
0;0;cloudy;20;10;0
0;0;cloudy;20;10;0
69,9;3,857;cloudy;20;30;12,33036
0;0;cloudy;45;30;0
0;0;cloudy;20;10;0
0;0;cloudy;45;10;0
230,7;9,014;cloudy;20;20;42,35652
16,6;3,464;cloudy;20;30;2,92824
13,8;2,38;cloudy;45;10;2,501388
469,2;18,363;cloudy;20;20;86,14512
464,2;18,803;cloudy;20;10;88,56936
613;21,078;cloudy;45;10;111,11238
675,6;27,644;cloudy;45;10;122,459256
694,7;27,964;cloudy;45;20;121,169574
443,3;16,193;cloudy;45;10;80,352558
431,8;15,182;cloudy;45;10;78,268068
377,4;14,991;cloudy;45;10;68,407524
570,9;21,857;cloudy;45;30;95,671422
280,3;11,962;cloudy;20;20;51,46308
343,5;13,221;cloudy;20;30;60,5934
162,7;5,79;cloudy;20;20;29,87172
342,5;12,694;cloudy;45;30;57,39615
194,6;9,152;cloudy;45;10;35,273196
0;0;cloudy;20;30;0
0;0;clear;20;10;0
0;0;clear;20;30;0
0;0;clear;45;20;0
44,4;1,647;clear;20;20;8,15184
67;6,715;clear;20;10;12,7836
154,1;7,159;clear;20;30;27,18324
173,6;3,557;clear;45;30;29,091888
294,9;9,825;clear;45;30;49,419342
342,7;15,362;clear;45;10;62,117802
522,7;20,926;clear;20;10;99,73116
620;21,938;clear;20;20;113,832
711,9;27,717;clear;20;20;130,70484
852;34,944;clear;20;30;150,2928
797,1;31,208;clear;20;20;146,34756
838,9;33,766;clear;45;10;152,059014
682,3;27,281;clear;20;10;130,18284
609,1;23,126;clear;20;30;107,44524
468;14,244;clear;20;10;89,2944
340,5;13,089;clear;45;10;61,71903
252,8;10,857;clear;45;10;45,822528
160,7;7,173;clear;20;30;28,34748
47,1;2,806;clear;45;30;7,893018
60,7;0;clear;45;30;10,172106
0;0;clear;45;30;0
0;0;clear;45;20;0
0;0;clear;45;30;0
0;0;clear;45;20;0
20,8;2,268;clear;20;10;3,96864
41,4;0,286;clear;45;30;6,937812
123,9;4,207;clear;45;20;21,610638
156;4,615;clear;45;30;26,14248
220,9;6,288;clear;45;20;38,529378
457;16,361;clear;20;20;83,9052
544,9;17,35;clear;45;20;95,041458
629,9;26,417;clear;20;20;115,64964
764,9;30,957;clear;45;10;138,645774
820,1;31,343;clear;45;10;148,651326
803,4;32,271;clear;20;10;153,28872
844,6;31,942;clear;20;20;155,06856
728,1;28,265;clear;45;10;131,975406
641,3;24,633;clear;45;10;116,242038
481,7;19,536;clear;45;20;84,018114
494,9;18,365;clear;20;20;90,86364
313,8;13,233;clear;20;20;57,61368
173;7,43;clear;20;20;31,7628
103;4,075;clear;20;10;19,6524
42,7;0;clear;20;30;7,53228
0;0;clear;20;30;0
0;0;cloudy;45;10;0
0;0;cloudy;20;20;0
0;0;cloudy;20;30;0
108,9;4,19;cloudy;20;20;19,99404
0;0;cloudy;45;10;0
157,9;4,68;cloudy;20;10;30,12732
0;0;cloudy;20;10;0
301,3;11,105;cloudy;20;30;53,14932
197,4;7,877;cloudy;20;30;34,82136
378,3;14,298;cloudy;20;30;66,73212
588,2;24,566;cloudy;45;10;106,617132
666;24,422;cloudy;45;30;111,60828
534;22,063;cloudy;20;20;98,0424
628,9;20,767;cloudy;20;10;119,99412
772,9;30,393;cloudy;45;10;140,095854
688,3;27,055;cloudy;45;30;115,345314
590,7;24,878;cloudy;45;20;103,029894
497,4;18,564;cloudy;45;10;90,158724
502,3;19,539;cloudy;45;20;87,611166
220,7;7,563;cloudy;45;30;36,984906
311,5;12,749;cloudy;20;20;57,1914
65,1;5,163;cloudy;45;30;10,909458
0;0;cloudy;20;30;0
108,5;4,047;cloudy;45;30;18,18243
0;0;clear;45;10;0
0;0;clear;20;20;0
31,7;1,431;clear;20;20;5,82012
83;1,878;clear;20;20;15,2388
96,3;4,629;clear;20;20;17,68068
145,5;5,085;clear;45;30;24,38289
205,7;7,138;clear;45;10;37,285182
385,3;12,135;clear;20;30;67,96692
368,1;13,917;clear;20;20;67,58316
485,6;19,159;clear;45;20;84,698352
625,5;25,186;clear;20;20;114,8418
899,4;34,941;clear;20;20;165,12984
967,5;39,532;clear;45;30;162,13365
905,5;34,939;clear;20;30;159,7302
840,6;32,858;clear;20;30;148,28184
846;34,569;clear;20;30;149,2344
707,9;27,649;clear;45;20;123,471918
539,4;22,532;clear;20;10;102,91752
383;16,102;clear;45;30;64,18314
320,3;12,943;clear;20;30;56,50092
202,9;9,876;clear;20;10;38,71332
151,6;4,55;clear;45;30;25,405128
89,4;4,489;clear;45;10;16,204644
10,7;2,265;clear;20;20;1,96452
0;0;clear;45;10;0
0;0;clear;20;20;0
16,2;0,926;clear;45;30;2,714796
1,6;0;clear;20;10;0,30528
98,2;1,761;clear;45;20;17,128044
139,8;4,443;clear;20;20;25,66728
102,3;2,894;clear;20;30;18,04572
304,5;10,491;clear;45;20;53,11089
359,4;12,723;clear;20;20;65,98584
517,5;18,966;clear;45;30;86,72265
674,8;28,01;clear;20;10;128,75184
721,3;27,723;clear;45;20;125,809146
793,4;30,354;clear;45;20;138,384828
871,7;32,847;clear;20;30;153,76788
825,2;30,687;clear;45;20;143,931384
720,5;26,105;clear;20;10;137,4714
685;25,967;clear;20;10;130,698
468,7;18,363;clear;20;30;82,67868
320,7;9,42;clear;45;10;58,130082
227,9;8,684;clear;20;30;40,20156
191,1;5,884;clear;45;10;34,638786
129,9;3,458;clear;20;30;22,91436
52,9;0;clear;20;30;9,33156
41,4;0,985;clear;45;30;6,937812
0;0;cloudy;20;30;0
0;0;cloudy;20;10;0
0;0;cloudy;45;10;0
0,2;0,556;cloudy;45;20;0
115;1,739;cloudy;45;10;20,8449
236,8;8,725;cloudy;45;20;41,302656
60,7;0,092;cloudy;45;20;10,587294
0,5;0;cloudy;20;10;0
74,1;0,913;cloudy;20;30;13,07124
381,1;14,028;cloudy;45;10;69,078186
611;24,112;cloudy;45;30;102,39138
620,6;22,446;cloudy;20;10;118,41048
497,4;20,28;cloudy;20;20;91,32264
674,4;25,533;cloudy;20;10;128,67552
285,1;11,357;cloudy;20;20;52,34436
567,3;22,757;cloudy;45;10;102,828798
353,6;13,312;cloudy;20;10;67,46688
407,2;15,819;cloudy;45;20;71,023824
162,1;6,464;cloudy;20;10;30,92868
0;0;cloudy;20;30;0
69,6;2,106;cloudy;20;10;13,27968
69,5;5,421;cloudy;20;20;12,7602
0;0;cloudy;20;10;0
237;8,372;cloudy;45;10;42,95862
0;0;cloudy;45;30;0
0;0;cloudy;45;30;0
182,8;5,711;cloudy;20;30;32,24592
0;0;cloudy;20;10;0
170,3;8,254;cloudy;45;10;30,868578
31,7;0,961;cloudy;45;30;5,312286
186,3;6,537;cloudy;20;10;35,54604
213,3;9,776;cloudy;45;20;37,203786
361,5;14,323;cloudy;20;30;63,7686
492,7;17,805;cloudy;45;10;89,306802
407,2;16,908;cloudy;20;30;71,83008
474,2;15,407;cloudy;45;10;85,953492
716,7;28,569;cloudy;45;10;129,909042
703;26,525;cloudy;45;20;122,61726
563,4;25,502;cloudy;45;30;94,414572
501,8;19,892;cloudy;45;20;87,523956
663,5;24,389;cloudy;45;30;111,18933
510;20,084;cloudy;45;30;85,4658
291,1;11,049;cloudy;45;10;52,764786
154,1;8,113;cloudy;45;20;26,878122
43,1;0,875;cloudy;20;20;7,91316
164,5;7,134;cloudy;45;20;28,69209
119,6;3,609;cloudy;45;20;20,860632
144,5;6,837;cloudy;20;20;26,5302
0;0;clear;45;30;0
0;0;clear;20;20;0
29,6;0;clear;20;30;5,22144
22,7;0,238;clear;20;10;4,33116
68,1;1,804;clear;45;20;11,878002
144,1;6,643;clear;20;20;26,45676
129,1;5,386;clear;20;30;22,77324
243,4;9,324;clear;45;20;42,453828
469,3;20,839;clear;45;20;81,855306
614;22,111;clear;45;30;102,89412
698,3;25,218;clear;20;30;123,18012
762,1;29,981;clear;20;10;145,40868
887,6;34,064;clear;20;10;169,35408
909,6;35,664;clear;45;30;152,430768
810,6;29,438;clear;20;20;148,82616
741,9;29,557;clear;20;10;141,55452
641,3;26,677;clear;20;20;117,74268
525,9;18,882;clear;20;30;92,76876
384,2;14,886;clear;20;30;67,77288
247,3;7,255;clear;45;10;44,825598
153,3;10,454;clear;20;10;29,24964
70,1;3,446;clear;45;20;12,226842
68,6;3,481;clear;20;30;12,10104
13,2;0;clear;20;30;2,32848
0;0;clear;20;30;0
0;0;clear;45;10;0
0;0;clear;45;30;0
52,5;3,348;clear;20;20;9,639
119,1;4,554;clear;45;30;19,958778
143,8;5,714;clear;45;30;24,098004
180,7;5,684;clear;20;30;31,87548
292,3;10,185;clear;45;20;50,982966
361,5;15,296;clear;45;10;65,52549
514,7;20,902;clear;20;20;94,49892
623;25,363;clear;20;30;109,8972
779,3;29,871;clear;20;20;143,07948
880,7;31,888;clear;45;20;153,611694
885,3;36,693;clear;20;10;168,91524
787,4;30,656;clear;45;30;131,952492
851,5;35,318;clear;20;20;156,3354
725,9;26,682;clear;20;20;133,27524
496,3;18,015;clear;20;10;94,69404
454,5;18,586;clear;20;20;83,4462
238,2;8,642;clear;45;30;39,917556
233,6;10,704;clear;45;20;40,744512
89;0;clear;20;30;15,6996
132,5;4,466;clear;45;10;24,01695
106,4;5,967;clear;20;10;20,30112
0;0;cloudy;20;10;0
0;0;cloudy;20;30;0
66,1;3,616;cloudy;45;20;11,529162
0;0;cloudy;20;20;0
16,5;0;cloudy;20;10;3,1482
0;0;cloudy;45;20;0
153,3;6,14;cloudy;45;30;25,690014
62,6;2,353;cloudy;45;10;11,346876
205,3;7,894;cloudy;20;10;39,17124
548,6;19,961;cloudy;20;10;104,67288
487;20,17;cloudy;45;30;81,61146
559,4;20,521;cloudy;45;10;101,396844
657;23,954;cloudy;20;20;120,6252
565,1;25,063;cloudy;20;10;107,82108
804,2;30,468;cloudy;45;30;134,767836
403,8;14,774;cloudy;20;20;74,13768
671,2;26,005;cloudy;20;20;123,23232
457,3;19,934;cloudy;45;10;82,890198
579,3;21,431;cloudy;45;20;101,041506
65;5,983;cloudy;45;10;11,7819
95,5;5,526;cloudy;45;30;16,00389
320,8;9,95;cloudy;45;20;55,953936
0;0;cloudy;20;20;0
157,1;5,602;cloudy;45;20;27,401382
0;0;clear;45;20;0
0;0;clear;45;30;0
62,2;1,531;clear;45;20;10,848924
85,1;3,824;clear;45;10;15,425226
25,7;3,233;clear;20;30;4,53348
105,4;3,778;clear;45;20;18,383868
244,5;7,316;clear;45;10;44,31807
328,7;12,422;clear;20;10;62,71596
410,2;16,224;clear;20;10;78,26616
630,8;24,338;clear;20;20;115,81488
716,5;27,3;clear;20;30;126,3906
879,6;32,31;clear;45;30;147,403368
970,3;36,555;clear;20;10;185,13324
1015,3;40,168;clear;45;30;170,143974
999,2;36,818;clear;20;30;176,25888
879,4;32,961;clear;45;10;159,400044
740,9;27,628;clear;45;30;124,160022
595,6;24,548;clear;45;10;107,958456
552,7;21,397;clear;20;30;97,49628
324,8;12,807;clear;45;20;56,651616
296,1;10,057;clear;45;10;53,671086
140;2,999;clear;45;10;25,3764
128,1;3,615;clear;45;10;23,219406
0;0;clear;45;10;0
0;0;clear;20;30;0
0;0;clear;45;30;0
0,7;0;clear;45;30;0
0;0;clear;20;10;0
79,2;4,484;clear;20;30;13,97088
104,9;5,417;clear;20;30;18,50436
273,3;8,752;clear;20;20;50,17788
287,2;14,006;clear;20;20;52,72992
394,6;14,31;clear;20;30;69,60744
619;23,57;clear;20;10;118,1052
741,6;28,565;clear;45;30;124,277328
791,9;30,644;clear;20;10;151,09452
980,9;38,691;clear;45;30;164,379222
971,9;36,174;clear;20;10;185,43852
880,4;31,803;clear;20;30;155,30256
836,9;33,044;clear;45;10;151,696494
717,1;28,262;clear;45;20;125,076582
588,1;21,407;clear;45;30;98,553798
455,5;16,418;clear;20;10;86,9094
280,6;9,942;clear;45;20;48,942252
259,4;11,52;clear;45;30;43,470252
204,7;7,544;clear;45;30;34,303626
59,7;2,665;clear;20;20;10,96092
56,8;3,426;clear;20;10;10,83744
0;0;cloudy;45;20;0
0;0;cloudy;45;10;0
66,1;2,329;cloudy;45;30;11,077038
0;0;cloudy;20;10;0
30,2;0;cloudy;20;10;5,76216
89,7;4,251;cloudy;20;30;15,82308
239;8,176;cloudy;20;10;45,6012
130,5;4,061;cloudy;20;20;23,9598
182,8;8,588;cloudy;20;30;32,24592
558,3;21,415;cloudy;45;10;101,197458
336,9;14,181;cloudy;20;10;64,28052
712,3;27,815;cloudy;20;10;135,90684
516,9;18,704;cloudy;45;20;90,157698
803,9;28,696;cloudy;45;30;134,717562
614,2;22,957;cloudy;45;20;107,128764
471;16,785;cloudy;45;30;78,93018
402,2;15,21;cloudy;45;30;67,400676
275,4;10,222;cloudy;45;10;49,919004
274,7;9,645;cloudy;20;30;48,45708
192,3;9,011;cloudy;45;30;32,225634
113,3;5,055;cloudy;20;30;19,98612
219,3;7,566;cloudy;20;20;40,26348
49,9;2,966;cloudy;45;10;9,044874
154,7;6,619;cloudy;20;20;28,40292
0;0;cloudy;45;10;0
0;0;cloudy;45;10;0
27;0;cloudy;45;10;4,89402
59,6;1,39;cloudy;45;10;10,803096
46,6;2,706;cloudy;45;10;8,446716
37,3;3,69;cloudy;45;30;6,250734
251,9;8,907;cloudy;20;20;46,24884
360,7;14,909;cloudy;45;10;65,380482
186,1;8,788;cloudy;45;20;32,459562
450,2;17,607;cloudy;20;10;85,89816
570;20,535;cloudy;45;10;103,3182
715,7;27,654;cloudy;20;10;136,55556
673,8;23,667;cloudy;45;10;122,132988
653,8;25,522;cloudy;20;30;115,33032
875,5;32,173;cloudy;45;30;146,71629
630,5;22,477;cloudy;20;20;115,7598
718,9;26,763;cloudy;45;20;125,390538
91,5;3,443;cloudy;20;10;17,4582
223,1;10,154;cloudy;45;10;40,439106
206,8;7,345;cloudy;45;20;36,070056
21,6;2,268;cloudy;45;10;3,915216
7,6;0;cloudy;20;30;1,34064
145,1;4,715;cloudy;20;10;27,68508
0;0;cloudy;20;20;0
0;0;clear;20;20;0
0;0;clear;20;20;0
9,9;0,795;clear;45;30;1,659042
58,7;1,372;clear;45;30;9,836946
86,2;3,204;clear;45;30;14,445396
119,2;5,387;clear;20;10;22,74336
228,8;10,217;clear;20;10;43,65504
311,3;12,635;clear;45;30;52,167654
351,1;12,763;clear;20;20;64,46196
535,6;20,224;clear;20;10;102,19248
682,7;27,406;clear;20;10;130,25916
718,7;29,194;clear;20;30;126,77868
757,3;28,498;clear;45;30;126,908334
876,8;34,903;clear;45;10;158,928768
842,3;32,314;clear;20;10;160,71084
739;28,293;clear;45;20;128,89638
563,1;20,943;clear;45;20;98,215902
501,3;18,804;clear;20;10;95,64804
341,1;10,603;clear;20;20;62,62596
306,9;14,27;clear;45;10;55,628694
121;4,281;clear;45;30;20,27718
120,8;5,43;clear;20;30;21,30912
71,6;3,37;clear;20;10;13,66128
4;0;clear;45;30;0,67032
0;0;cloudy;20;20;0
0;0;cloudy;20;20;0
7,6;0;cloudy;45;10;1,377576
0;0;cloudy;45;30;0
0;0;cloudy;20;20;0
50,7;2,393;cloudy;20;10;9,67356
104,9;1,71;cloudy;20;10;20,01492
127,3;4,857;cloudy;45;20;22,203666
358,5;13,295;cloudy;20;20;65,8206
341,2;13,391;cloudy;45;20;59,512104
698,7;25,723;cloudy;20;10;133,31196
602,6;23,013;cloudy;45;10;109,227276
419;15,262;cloudy;45;30;70,21602
417,9;14,791;cloudy;20;30;73,71756
677,9;26,831;cloudy;20;10;129,34332
523,5;17,238;cloudy;20;30;92,3454
521,9;21,202;cloudy;20;30;92,06316
508,8;17,187;cloudy;45;20;88,744896
377;16,926;cloudy;20;30;66,5028
196,2;4,213;cloudy;20;30;34,60968
156,8;5,46;cloudy;20;20;28,78848
94,8;3,8;cloudy;20;10;18,08784
64,8;4,322;cloudy;20;30;11,43072
13,6;2,117;cloudy;20;10;2,59488
0;0;clear;45;20;0
0;0;clear;20;20;0
98,3;4,949;clear;20;20;18,04788
97,9;3,234;clear;20;30;17,26956
28,6;1,884;clear;45;10;5,184036
137,2;4,82;clear;20;20;25,18992
304,8;11,728;clear;45;10;55,248048
310,1;13,52;clear;45;10;56,208726
438,6;18,245;clear;45;30;73,500588
600,9;20,614;clear;45;30;100,698822
837,4;33,114;clear;45;10;151,787124
856,6;33,12;clear;20;10;163,43928
957,2;37,771;clear;20;20;175,74192
943,5;34,116;clear;20;10;180,0198
992,9;41,076;clear;20;30;175,14756
799;32,695;clear;20;10;152,4492
686,4;25,799;clear;20;10;130,96512
620,2;21,761;clear;45;10;112,417452
368;13,741;clear;45;20;64,18656
318,5;11,434;clear;45;10;57,73131
251,1;11,569;clear;20;20;46,10196
175,7;7,818;clear;20;10;33,52356
82,5;2,802;clear;45;30;13,82535
7,4;0;clear;20;20;1,35864
0;0;clear;45;10;0
0;0;clear;20;10;0
13,4;1,404;clear;20;20;2,46024
94,6;4,574;clear;20;30;16,68744
80,1;5,537;clear;20;20;14,70636
146,9;6,439;clear;20;30;25,91316
222,9;6,434;clear;45;10;40,402854
350,3;13,934;clear;45;10;63,495378
454,2;17,283;clear;45;10;82,328292
607,2;22,134;clear;45;20;105,907824
710,6;24,804;clear;20;20;130,46616
902,9;35,114;clear;45;10;163,659654
862,6;32,826;clear;20;30;152,16264
950;38,297;clear;20;10;181,26
946;34,181;clear;45;30;158,53068
826,7;32,916;clear;45;10;149,847642
735,4;28,659;clear;20;30;129,72456
598,1;22,479;clear;45;30;100,229598
507,1;20,97;clear;20;20;93,10356
338,1;11,818;clear;45;10;61,284006
253,9;7,154;clear;20;20;46,61604
116,5;4,139;clear;45;20;20,31993
98,6;2,531;clear;20;30;17,39304
45,7;0;clear;20;30;8,06148
0;0;clear;20;30;0
0;0;clear;45;20;0
40,5;2,826;clear;20;30;7,1442
74,3;3,388;clear;45;30;12,451194
51,5;0;clear;20;20;9,4554
137,8;6,108;clear;45;20;24,035076
226,4;11,742;clear;45;20;39,488688
308,1;12,249;clear;20;20;56,56716
410,4;16,001;clear;20;10;78,30432
551,7;21,029;clear;20;10;105,26436
802,2;31,355;clear;20;20;147,28392
940,7;35,341;clear;20;30;165,93948
853,2;34,729;clear;45;10;154,651032
1051,9;38,151;clear;20;20;193,12884
924,3;36,564;clear;20;30;163,04652
910,3;35,998;clear;20;10;173,68524
747,1;27,429;clear;20;30;131,78844
565;18,834;clear;20;20;103,734
479,1;17,275;clear;45;10;86,841666
297,5;11,871;clear;45;10;53,92485
174,1;8,237;clear;20;20;31,96476
210,4;8,116;clear;20;10;40,14432
127,1;5,807;clear;45;10;23,038146
88,7;2,412;clear;20;20;16,28532
0;0;cloudy;20;10;0
0;0;cloudy;45;20;0
43,8;0;cloudy;45;20;7,639596
226,7;8,535;cloudy;45;20;39,541014
17,4;0;cloudy;20;30;3,06936
43;3,696;cloudy;20;10;8,2044
310,8;12,273;cloudy;45;20;54,209736
298,4;12,35;cloudy;45;30;50,005872
268,1;13,128;cloudy;45;10;48,595806
386,2;14,794;cloudy;45;20;67,361004
435,8;17,14;cloudy;45;20;76,012236
377,1;14,44;cloudy;45;20;65,773782
413;16,004;cloudy;20;20;75,8268
706,3;27,868;cloudy;45;30;118,361754
463,6;20,694;cloudy;20;20;85,11696
644,5;23,624;cloudy;45;20;112,41369
409,1;16,491;cloudy;20;30;72,16524
335,6;11,262;cloudy;20;20;61,61616
147,7;6,291;cloudy;20;20;27,11772
360,7;14,873;cloudy;45;10;65,380482
0;0;cloudy;20;10;0
243,9;8,144;cloudy;45;20;42,541038
32,3;0;cloudy;20;30;5,69772
23,3;0;cloudy;20;10;4,44564
0;0;cloudy;20;20;0
0;0;cloudy;20;10;0
85,7;3,063;cloudy;45;10;15,533982
83,4;4,193;cloudy;45;20;14,546628
58,7;1,072;cloudy;45;20;10,238454
174,2;7,332;cloudy;45;30;29,192436
168,9;6,528;cloudy;20;30;29,79396
315,7;13,443;cloudy;20;20;57,96252
449,3;17,528;cloudy;20;10;85,72644
412,1;16,134;cloudy;45;10;74,697246
548;25,229;cloudy;45;10;99,33048
553,3;20,494;cloudy;45;10;100,291158
784,1;28,983;cloudy;45;10;142,125966
428,2;15,244;cloudy;45;10;77,615532
678,6;30,156;cloudy;20;10;129,47688
347,3;14,634;cloudy;20;10;66,26484
626,2;23,527;cloudy;45;20;109,221804
356,9;14,788;cloudy;20;30;62,95716
224,7;8,296;cloudy;45;30;37,655226
253,3;7,01;cloudy;45;30;42,448014
226,2;9,108;cloudy;20;20;41,53032
74,7;4,612;cloudy;20;10;14,25276
101,5;5,274;cloudy;20;10;19,3662
0;0;cloudy;20;20;0
0;0;clear;20;30;0
0;0;clear;45;20;0
0;0;clear;45;10;0
38;0;clear;45;20;6,62796
0;0;clear;20;30;0
175,2;9,44;clear;20;20;32,16672
179,9;6,944;clear;20;30;31,73436
288;10,299;clear;45;10;52,20288
415;16,955;clear;45;20;72,3843
539;18,126;clear;45;20;94,01238
718,7;27,417;clear;20;30;126,77868
777,5;29,409;clear;45;30;130,29345
928,8;31,587;clear;20;20;170,52768
923,1;35,161;clear;20;30;162,83484
898,2;33,898;clear;20;30;158,44248
801,9;32,396;clear;45;10;145,352394
694,3;26,831;clear;45;20;121,099806
533,2;21,834;clear;45;30;89,353656
409,1;15,334;clear;20;20;75,11076
289,3;12,345;clear;20;30;51,03252
206,7;6,218;clear;20;10;39,43836
212,8;7,875;clear;45;10;38,572128
131,8;5,464;clear;45;10;23,890068
34;0,824;clear;45;20;5,93028
0;0;clear;45;10;0
0;0;clear;20;20;0
24;0;clear;45;20;4,18608
146,6;6,906;clear;45;10;26,572716
89,3;2,304;clear;20;30;15,75252
96,6;3,831;clear;20;10;18,43128
129,3;4,962;clear;20;10;24,67044
287,9;9,191;clear;20;30;50,78556
343,7;15,611;clear;45;30;57,597246
457,6;18,131;clear;20;20;84,01536
660,1;26,093;clear;45;10;119,649726
704,5;26,21;clear;45;30;118,06011
764,4;29,84;clear;45;10;138,555144
857,4;30,842;clear;20;30;151,24536
798,4;32,648;clear;20;20;146,58624
793,4;29,212;clear;45;20;138,384828
598;22,254;clear;45;10;108,39348
485;16,727;clear;45;10;87,9111
301,7;9,956;clear;45;10;54,686142
207,1;5,868;clear;20;10;39,51468
150,2;6,225;clear;45;10;27,225252
139;3,033;clear;20;20;25,5204
2,9;3,781;clear;20;10;0,55332
0;0;clear;45;20;0
0;0;cloudy;45;10;0
0;0;cloudy;45;30;0
0;0;cloudy;20;20;0
0;0;cloudy;45;20;0
0;0;cloudy;45;20;0
127,7;5,37;cloudy;20;20;23,44572
0;0;cloudy;45;20;0
195,5;8,81;cloudy;45;10;35,43633
102,9;1,785;cloudy;45;10;18,651654
227,8;9,846;cloudy;45;20;39,732876
578,8;22,735;cloudy;20;10;110,43504
665,4;26,158;cloudy;45;30;111,507732
749,8;28,851;cloudy;20;30;132,26472
489,6;19,781;cloudy;45;30;82,047168
563,6;23,521;cloudy;45;30;94,448088
520,4;19,846;cloudy;45;20;90,768168
734,5;27,997;cloudy;45;10;133,13547
362,9;10,876;cloudy;45;10;65,779254
391,4;14,027;cloudy;45;30;65,590812
351,7;15,464;cloudy;20;30;62,03988
71,6;2,378;cloudy;20;10;13,66128
0;0;cloudy;45;20;0
0;0;cloudy;45;20;0
0;0;cloudy;20;30;0
0;0;cloudy;45;20;0
0;0;cloudy;45;30;0
52,7;1,635;cloudy;45;20;9,191934
122,7;5,184;cloudy;20;20;22,52772
9,2;0;cloudy;20;20;1,68912
12,8;0;cloudy;45;20;2,232576
287,6;9,638;cloudy;20;10;54,87408
91,1;3,028;cloudy;20;10;17,38188
370,9;13,167;cloudy;45;20;64,692378
375,5;13,389;cloudy;45;10;68,06313
522,2;21,318;cloudy;20;20;95,87592
851,6;34,717;cloudy;45;20;148,536072
600,3;23,667;cloudy;20;20;110,21508
799,3;31,116;cloudy;20;30;140,99652
721;30,163;cloudy;20;30;127,1844
567,7;23,978;cloudy;20;10;108,31716
454,7;17,399;cloudy;45;30;76,198626
442,4;14,886;cloudy;45;20;77,163408
202,7;6,306;cloudy;45;10;36,741402
292,8;10,947;cloudy;45;10;53,072928
0;0;cloudy;20;30;0
160,7;7,041;cloudy;20;20;29,50452
72,9;6,088;cloudy;20;10;13,90932
0;0;cloudy;45;10;0
0;0;clear;45;20;0
0;0;clear;20;10;0
0;0;clear;20;10;0
32,9;0,41;clear;45;10;5,963454
74;4,164;clear;20;20;13,5864
138;4,465;clear;20;20;25,3368
212,9;9,443;clear;20;30;37,55556
320,9;12,126;clear;45;10;58,166334
457,9;16,535;clear;20;10;87,36732
551,1;21,701;clear;20;10;105,14988
